start_sample,end_sample,instrument_id,midi_note,measure,beat,note_value
10206,22494,43,46,1,0.000000,Dotted Eighth
10206,25054,41,65,1,0.000000,Quarter
10206,42462,41,61,1,0.000000,Dotted Half
25566,29150,41,63,1,0.250000,Eighth
25566,30686,43,58,1,0.250000,Dotted Eighth
29662,34270,41,65,1,0.375000,Eighth
34270,39902,41,66,1,0.500000,Dotted Eighth
34270,64990,42,58,1,0.500000,Whole
42462,46557,41,63,1,0.750000,Eighth
42462,48094,43,39,1,0.750000,Dotted Eighth
46557,50654,41,61,1,0.875000,Eighth
50654,55774,43,56,2,0.000000,Dotted Eighth
50654,57822,41,63,2,0.000000,Quarter
50654,72670,41,60,2,0.000000,Dotted Half
57822,61406,41,61,2,0.250000,Eighth
57822,62430,43,44,2,0.250000,Dotted Eighth
61406,64990,41,63,2,0.375000,Eighth
64990,70110,41,65,2,0.500000,Dotted Eighth
64990,96734,42,56,2,0.500000,Whole
73182,76254,41,61,2,0.750000,Eighth
73182,77278,43,37,2,0.750000,Dotted Eighth
76254,79838,41,60,2,0.875000,Eighth
80350,85982,43,42,3,0.000000,Dotted Eighth
80350,88542,41,61,3,0.000000,Quarter
80350,104926,41,58,3,0.000000,Dotted Half
88542,92638,41,60,3,0.250000,Eighth
88542,94173,43,54,3,0.250000,Dotted Eighth
92638,96734,41,61,3,0.375000,Eighth
96734,102366,41,63,3,0.500000,Dotted Eighth
96734,102366,42,54,3,0.500000,Dotted Eighth
96734,102366,43,42,3,0.500000,Dotted Eighth
104926,109022,41,60,3,0.750000,Eighth
104926,110046,41,63,3,0.750000,Dotted Eighth
104926,110046,42,51,3,0.750000,Dotted Eighth
104926,110046,43,42,3,0.750000,Dotted Eighth
109022,112606,41,58,3,0.875000,Eighth
112606,119262,41,57,4,0.000000,Quarter
112606,119262,41,65,4,0.000000,Quarter
112606,119262,42,48,4,0.000000,Quarter
112606,119262,43,41,4,0.000000,Quarter
142814,148446,43,46,5,0.000000,Dotted Eighth
142814,151006,41,65,5,0.000000,Quarter
142814,164318,41,61,5,0.000000,Dotted Half
151006,154590,41,63,5,0.250000,Eighth
151006,156126,43,58,5,0.250000,Dotted Eighth
154590,157150,41,65,5,0.375000,Eighth
157150,162270,41,66,5,0.500000,Dotted Eighth
157150,188382,42,58,5,0.500000,Whole
164318,167902,41,63,5,0.750000,Eighth
164318,169438,43,39,5,0.750000,Dotted Eighth
167902,171998,41,61,5,0.875000,Eighth
172510,177630,43,56,6,0.000000,Dotted Eighth
172510,179677,41,63,6,0.000000,Quarter
172510,196574,41,60,6,0.000000,Dotted Half
180190,183774,41,61,6,0.250000,Eighth
180190,185310,43,44,6,0.250000,Dotted Eighth
184286,188382,41,63,6,0.375000,Eighth
188382,194014,41,65,6,0.500000,Dotted Eighth
188382,196574,42,56,6,0.500000,Quarter
196574,200669,41,61,6,0.750000,Eighth
196574,201694,43,37,6,0.750000,Dotted Eighth
196574,209886,42,53,6,0.750000,Dotted Quarter
200669,203742,41,60,6,0.875000,Eighth
203742,209374,41,58,7,0.000000,Dotted Eighth
203742,209374,43,42,7,0.000000,Dotted Eighth
203742,211422,41,61,7,0.000000,Quarter
211422,215006,41,60,7,0.250000,Eighth
211422,216542,41,58,7,0.250000,Dotted Eighth
211422,216542,42,51,7,0.250000,Dotted Eighth
211422,216542,43,42,7,0.250000,Dotted Eighth
215006,217566,41,61,7,0.375000,Eighth
217566,223198,41,57,7,0.500000,Dotted Eighth
217566,223198,41,63,7,0.500000,Dotted Eighth
217566,223198,42,48,7,0.500000,Dotted Eighth
217566,223198,43,41,7,0.500000,Dotted Eighth
225758,230366,41,57,7,0.750000,Dotted Eighth
225758,230366,41,60,7,0.750000,Dotted Eighth
225758,230366,42,53,7,0.750000,Dotted Eighth
225758,230366,43,41,7,0.750000,Dotted Eighth
232414,239069,41,58,8,0.000000,Quarter
232414,239069,42,53,8,0.000000,Quarter
232414,239069,43,46,8,0.000000,Quarter
263134,274398,43,46,9,0.000000,Dotted Eighth
263134,276958,41,65,9,0.000000,Quarter
263134,292318,41,61,9,0.000000,Dotted Half
276958,280030,41,63,9,0.250000,Eighth
276958,281566,43,58,9,0.250000,Dotted Eighth
280542,284126,41,65,9,0.375000,Eighth
284638,289758,41,66,9,0.500000,Dotted Eighth
284638,316382,42,58,9,0.500000,Whole
292830,296926,41,63,9,0.750000,Eighth
292830,298462,43,39,9,0.750000,Dotted Eighth
296926,301022,41,61,9,0.875000,Eighth
301022,306142,43,56,10,0.000000,Dotted Eighth
301022,308702,41,63,10,0.000000,Quarter
301022,324062,41,60,10,0.000000,Dotted Half
308702,312286,41,61,10,0.250000,Eighth
308702,313822,43,44,10,0.250000,Dotted Eighth
312286,316382,41,63,10,0.375000,Eighth
316382,321502,41,65,10,0.500000,Dotted Eighth
316382,347614,42,56,10,0.500000,Whole
324062,328158,41,61,10,0.750000,Eighth
324062,329694,43,37,10,0.750000,Dotted Eighth
328158,332254,41,60,10,0.875000,Eighth
332766,337886,43,42,11,0.000000,Dotted Eighth
332766,339934,41,61,11,0.000000,Quarter
332766,354270,41,58,11,0.000000,Dotted Half
339934,343006,41,60,11,0.250000,Eighth
339934,344542,43,54,11,0.250000,Dotted Eighth
343518,347614,41,61,11,0.375000,Eighth
347614,351710,41,63,11,0.500000,Dotted Eighth
347614,351710,42,54,11,0.500000,Dotted Eighth
347614,351710,43,42,11,0.500000,Dotted Eighth
354270,357854,41,60,11,0.750000,Eighth
354270,359390,41,63,11,0.750000,Dotted Eighth
354270,359390,42,51,11,0.750000,Dotted Eighth
354270,359390,43,42,11,0.750000,Dotted Eighth
357854,361950,41,58,11,0.875000,Eighth
361950,368606,41,57,12,0.000000,Quarter
361950,368606,41,65,12,0.000000,Quarter
361950,368606,42,48,12,0.000000,Quarter
361950,368606,43,41,12,0.000000,Quarter
392158,397790,43,46,13,0.000000,Dotted Eighth
392158,400350,41,65,13,0.000000,Quarter
392158,416734,41,61,13,0.000000,Dotted Half
400350,404446,41,63,13,0.250000,Eighth
400350,405470,43,58,13,0.250000,Dotted Eighth
404446,408030,41,65,13,0.375000,Eighth
408030,414174,41,66,13,0.500000,Dotted Eighth
408030,437214,42,58,13,0.500000,Whole
416734,420830,41,63,13,0.750000,Eighth
416734,422366,43,39,13,0.750000,Dotted Eighth
420830,424926,41,61,13,0.875000,Eighth
424926,430046,43,56,14,0.000000,Dotted Eighth
424926,431582,41,63,14,0.000000,Quarter
424926,444381,41,60,14,0.000000,Dotted Half
432094,434654,41,61,14,0.250000,Eighth
432094,435678,43,44,14,0.250000,Dotted Eighth
435166,437214,41,63,14,0.375000,Eighth
437726,442334,41,65,14,0.500000,Dotted Eighth
437726,444381,42,56,14,0.500000,Quarter
444894,448990,41,61,14,0.750000,Eighth
444894,449502,43,37,14,0.750000,Dotted Eighth
444894,457182,42,53,14,0.750000,Dotted Quarter
448990,452062,41,60,14,0.875000,Eighth
452062,457182,41,58,15,0.000000,Dotted Eighth
452062,457182,43,42,15,0.000000,Dotted Eighth
452062,458718,41,61,15,0.000000,Quarter
458718,462302,41,60,15,0.250000,Eighth
458718,463837,41,58,15,0.250000,Dotted Eighth
458718,463837,42,51,15,0.250000,Dotted Eighth
458718,463837,43,42,15,0.250000,Dotted Eighth
462302,466398,41,61,15,0.375000,Eighth
466398,472542,41,57,15,0.500000,Dotted Eighth
466398,472542,41,63,15,0.500000,Dotted Eighth
466398,472542,42,48,15,0.500000,Dotted Eighth
466398,472542,43,41,15,0.500000,Dotted Eighth
474590,480222,41,57,15,0.750000,Dotted Eighth
474590,480222,41,60,15,0.750000,Dotted Eighth
474590,480222,42,53,15,0.750000,Dotted Eighth
474590,480222,43,41,15,0.750000,Dotted Eighth
483294,486366,41,58,16,0.000000,Quarter
483294,486366,42,53,16,0.000000,Quarter
483294,486366,43,46,16,0.000000,Quarter
512478,521181,41,73,17,0.000000,Quarter
512478,521181,43,44,17,0.000000,Quarter
512478,531422,41,65,17,0.000000,Half
512478,539614,42,68,17,0.000000,Dotted Half
521181,526814,41,72,17,0.250000,Eighth
521181,531422,43,56,17,0.250000,Quarter
526814,531422,41,73,17,0.375000,Eighth
531422,537054,41,75,17,0.500000,Dotted Eighth
531422,539614,41,66,17,0.500000,Quarter
539614,548830,42,75,17,0.750000,Quarter
539614,548830,43,56,17,0.750000,Quarter
548830,557022,41,73,18,0.000000,Quarter
548830,557022,43,44,18,0.000000,Quarter
548830,565214,41,65,18,0.000000,Half
548830,573406,42,68,18,0.000000,Dotted Half
557534,562654,41,80,18,0.250000,Dotted Eighth
557534,565214,43,56,18,0.250000,Quarter
565726,570846,41,78,18,0.500000,Dotted Eighth
565726,573406,41,63,18,0.500000,Quarter
573918,581598,41,66,18,0.750000,Quarter
573918,581598,42,75,18,0.750000,Quarter
573918,581598,43,56,18,0.750000,Quarter
581598,589790,41,73,19,0.000000,Quarter
581598,589790,43,44,19,0.000000,Quarter
581598,597982,41,65,19,0.000000,Half
581598,606174,42,68,19,0.000000,Dotted Half
589790,593886,41,72,19,0.250000,Eighth
589790,597982,43,56,19,0.250000,Quarter
593886,597982,41,73,19,0.375000,Eighth
597982,603614,41,75,19,0.500000,Dotted Eighth
597982,606174,41,66,19,0.500000,Quarter
606174,614878,42,75,19,0.750000,Quarter
606174,614878,43,56,19,0.750000,Quarter
615390,623582,41,73,20,0.000000,Quarter
615390,623582,43,44,20,0.000000,Quarter
615390,632798,41,65,20,0.000000,Half
615390,640990,42,68,20,0.000000,Dotted Half
624094,629726,41,80,20,0.250000,Dotted Eighth
624094,632798,43,56,20,0.250000,Quarter
632798,638942,41,78,20,0.500000,Dotted Eighth
632798,641502,41,63,20,0.500000,Quarter
632798,641502,43,56,20,0.500000,Quarter
641502,649694,41,66,20,0.750000,Quarter
641502,649694,42,75,20,0.750000,Quarter
641502,649694,43,44,20,0.750000,Quarter
649694,656350,41,70,21,0.000000,Quarter
649694,656350,43,46,21,0.000000,Quarter
649694,664542,41,65,21,0.000000,Half
649694,664542,42,61,21,0.000000,Half
656350,660446,41,69,21,0.250000,Eighth
656350,664542,43,58,21,0.250000,Quarter
660446,664542,41,70,21,0.375000,Eighth
664542,670174,41,71,21,0.500000,Dotted Eighth
664542,672734,41,66,21,0.500000,Quarter
664542,672734,42,63,21,0.500000,Quarter
673246,680926,43,58,21,0.750000,Quarter
681438,688606,41,70,22,0.000000,Quarter
681438,688606,43,46,22,0.000000,Quarter
681438,696798,41,65,22,0.000000,Half
681438,696798,42,61,22,0.000000,Half
688606,692702,41,69,22,0.250000,Eighth
688606,696798,43,58,22,0.250000,Quarter
692702,696798,41,70,22,0.375000,Eighth
696798,702430,41,72,22,0.500000,Dotted Eighth
696798,704990,41,66,22,0.500000,Quarter
696798,704990,42,63,22,0.500000,Quarter
704990,713182,43,58,22,0.750000,Quarter
713182,721886,41,70,23,0.000000,Quarter
713182,721886,43,46,23,0.000000,Quarter
713182,729566,41,65,23,0.000000,Half
713182,729566,42,61,23,0.000000,Half
722398,725470,41,69,23,0.250000,Eighth
722398,729566,43,58,23,0.250000,Quarter
725981,729566,41,70,23,0.375000,Eighth
730078,735198,41,66,23,0.500000,Dotted Eighth
730078,735198,41,71,23,0.500000,Dotted Eighth
730078,735198,42,54,23,0.500000,Dotted Eighth
730078,737758,43,51,23,0.500000,Quarter
738270,741854,41,63,23,0.750000,Dotted Eighth
738270,741854,41,71,23,0.750000,Dotted Eighth
738270,741854,42,54,23,0.750000,Dotted Eighth
738270,744414,43,51,23,0.750000,Quarter
744414,750558,42,53,24,0.000000,Dotted Eighth
744414,750558,43,53,24,0.000000,Dotted Eighth
744414,753118,41,61,24,0.000000,Quarter
744414,753118,41,70,24,0.000000,Quarter
753630,759262,41,60,24,0.250000,Dotted Eighth
753630,759262,41,69,24,0.250000,Dotted Eighth
753630,759262,42,65,24,0.250000,Dotted Eighth
753630,759262,43,53,24,0.250000,Dotted Eighth
761310,769502,41,61,24,0.500000,Quarter
761310,769502,41,70,24,0.500000,Quarter
761310,769502,42,65,24,0.500000,Quarter
761310,769502,43,46,24,0.500000,Quarter
778206,786398,41,73,25,0.000000,Quarter
778206,786398,43,44,25,0.000000,Quarter
778206,794590,41,65,25,0.000000,Half
778206,802270,42,68,25,0.000000,Dotted Half
786398,790493,41,72,25,0.250000,Eighth
786398,794590,43,56,25,0.250000,Quarter
790493,794590,41,73,25,0.375000,Eighth
794590,800222,41,75,25,0.500000,Dotted Eighth
794590,802270,41,66,25,0.500000,Quarter
802270,810462,42,75,25,0.750000,Quarter
802270,810462,43,56,25,0.750000,Quarter
810974,818654,41,73,26,0.000000,Quarter
810974,818654,43,44,26,0.000000,Quarter
810974,827358,41,65,26,0.000000,Half
810974,835550,42,68,26,0.000000,Dotted Half
819166,824286,41,80,26,0.250000,Dotted Eighth
819166,827358,43,56,26,0.250000,Quarter
827358,832990,41,78,26,0.500000,Dotted Eighth
827358,837086,41,63,26,0.500000,Quarter
837086,844766,41,66,26,0.750000,Quarter
837086,844766,42,75,26,0.750000,Quarter
837086,844766,43,56,26,0.750000,Quarter
844766,852958,41,73,27,0.000000,Quarter
844766,852958,43,44,27,0.000000,Quarter
844766,861150,41,65,27,0.000000,Half
844766,869854,42,68,27,0.000000,Dotted Half
852958,857054,41,72,27,0.250000,Eighth
852958,861150,43,56,27,0.250000,Quarter
857054,861150,41,73,27,0.375000,Eighth
861150,866782,41,75,27,0.500000,Dotted Eighth
861150,869854,41,66,27,0.500000,Quarter
870366,879582,42,75,27,0.750000,Quarter
870366,879582,43,56,27,0.750000,Quarter
880094,888285,41,73,28,0.000000,Quarter
880094,888285,43,44,28,0.000000,Quarter
880094,896478,41,65,28,0.000000,Half
880094,904670,42,68,28,0.000000,Dotted Half
888285,893917,41,80,28,0.250000,Dotted Eighth
888285,896478,43,56,28,0.250000,Quarter
896478,902109,41,78,28,0.500000,Dotted Eighth
896478,904670,41,63,28,0.500000,Quarter
896478,904670,43,56,28,0.500000,Quarter
904670,912350,41,66,28,0.750000,Quarter
904670,912350,42,75,28,0.750000,Quarter
904670,912350,43,44,28,0.750000,Quarter
912350,920030,41,70,29,0.000000,Quarter
912350,920030,43,46,29,0.000000,Quarter
912350,927710,41,65,29,0.000000,Half
912350,927710,42,61,29,0.000000,Half
920542,923614,41,69,29,0.250000,Eighth
920542,927710,43,58,29,0.250000,Quarter
924126,927710,41,70,29,0.375000,Eighth
928222,933342,41,71,29,0.500000,Dotted Eighth
928222,935390,41,66,29,0.500000,Quarter
928222,935390,42,63,29,0.500000,Quarter
935901,943582,43,58,29,0.750000,Quarter
943582,951774,41,70,30,0.000000,Quarter
943582,951774,43,46,30,0.000000,Quarter
943582,959966,41,65,30,0.000000,Half
943582,959966,42,61,30,0.000000,Half
951774,955870,41,69,30,0.250000,Eighth
951774,959966,43,58,30,0.250000,Quarter
955870,959966,41,70,30,0.375000,Eighth
959966,965598,41,72,30,0.500000,Dotted Eighth
959966,968158,41,66,30,0.500000,Quarter
959966,968158,42,63,30,0.500000,Quarter
968158,975838,43,58,30,0.750000,Quarter
976350,984030,41,70,31,0.000000,Quarter
976350,984030,43,46,31,0.000000,Quarter
976350,992222,41,65,31,0.000000,Half
976350,992222,42,61,31,0.000000,Half
984542,987614,41,69,31,0.250000,Eighth
984542,992222,43,58,31,0.250000,Quarter
988126,992222,41,70,31,0.375000,Eighth
992222,996830,41,66,31,0.500000,Dotted Eighth
992222,996830,41,71,31,0.500000,Dotted Eighth
992222,996830,42,54,31,0.500000,Dotted Eighth
992222,999390,43,51,31,0.500000,Quarter
999390,1005022,41,63,31,0.750000,Dotted Eighth
999390,1005022,41,71,31,0.750000,Dotted Eighth
999390,1005022,42,54,31,0.750000,Dotted Eighth
999390,1006046,43,51,31,0.750000,Quarter
1006046,1012702,42,53,32,0.000000,Dotted Eighth
1006046,1012702,43,53,32,0.000000,Dotted Eighth
1006046,1015262,41,61,32,0.000000,Quarter
1006046,1015262,41,70,32,0.000000,Quarter
1015774,1019869,41,60,32,0.250000,Dotted Eighth
1015774,1019869,41,69,32,0.250000,Dotted Eighth
1015774,1019869,42,65,32,0.250000,Dotted Eighth
1015774,1019869,43,53,32,0.250000,Dotted Eighth
1023454,1033182,41,61,32,0.500000,Quarter
1023454,1033182,41,70,32,0.500000,Quarter
1023454,1033182,42,65,32,0.500000,Quarter
1023454,1033182,43,46,32,0.500000,Quarter
1043934,1048542,41,62,33,0.000000,Dotted Eighth
1050590,1053662,41,65,33,0.166667,Dotted Eighth
1055198,1058782,41,70,33,0.333333,Dotted Eighth
1060830,1061854,41,72,33,0.500000,Sixteenth
1060830,1063902,41,65,33,0.500000,Dotted Eighth
1060830,1064414,42,65,33,0.500000,Dotted Eighth
1060830,1064414,43,62,33,0.500000,Dotted Eighth
1061854,1065438,41,70,33,0.541667,Dotted Eighth
1065950,1069534,41,65,33,0.666667,Dotted Eighth
1065950,1069534,42,63,33,0.666667,Dotted Eighth
1065950,1069534,43,60,33,0.666667,Dotted Eighth
1065950,1071070,41,69,33,0.666667,Quarter
1071070,1074654,41,65,33,0.833333,Dotted Eighth
1071070,1075166,42,62,33,0.833333,Dotted Eighth
1071070,1075166,43,58,33,0.833333,Dotted Eighth
1071070,1076702,41,70,33,0.833333,Quarter
1076702,1080286,41,65,34,0.000000,Dotted Eighth
1081822,1084894,41,69,34,0.166667,Dotted Eighth
1086942,1090526,41,72,34,0.333333,Dotted Eighth
1092062,1093598,41,74,34,0.500000,Sixteenth
1092062,1096158,41,65,34,0.500000,Dotted Eighth
1092062,1096158,42,57,34,0.500000,Dotted Eighth
1092062,1096158,43,53,34,0.500000,Dotted Eighth
1093598,1097694,41,72,34,0.541667,Dotted Eighth
1097694,1100766,41,65,34,0.666667,Dotted Eighth
1097694,1100766,42,55,34,0.666667,Dotted Eighth
1097694,1100766,43,53,34,0.666667,Dotted Eighth
1097694,1102302,41,71,34,0.666667,Quarter
1102302,1105374,41,65,34,0.833333,Dotted Eighth
1102302,1105886,42,57,34,0.833333,Dotted Eighth
1102302,1105886,43,53,34,0.833333,Dotted Eighth
1102302,1106398,41,72,34,0.833333,Quarter
1106910,1110494,41,65,35,0.000000,Dotted Eighth
1112030,1115102,41,70,35,0.166667,Dotted Eighth
1116638,1120222,41,74,35,0.333333,Dotted Eighth
1121758,1123294,41,75,35,0.500000,Sixteenth
1121758,1125342,41,62,35,0.500000,Dotted Eighth
1121758,1125854,42,53,35,0.500000,Dotted Eighth
1121758,1125854,43,46,35,0.500000,Dotted Eighth
1123294,1126878,41,74,35,0.541667,Dotted Eighth
1127390,1129438,41,60,35,0.666667,Dotted Eighth
1127390,1129950,42,53,35,0.666667,Dotted Eighth
1127390,1129950,43,45,35,0.666667,Dotted Eighth
1127390,1130974,41,72,35,0.666667,Quarter
1130974,1134558,41,58,35,0.833333,Dotted Eighth
1130974,1134558,42,53,35,0.833333,Dotted Eighth
1130974,1134558,43,43,35,0.833333,Dotted Eighth
1130974,1136094,41,74,35,0.833333,Quarter
1136094,1139678,41,69,36,0.000000,Dotted Eighth
1141726,1143774,41,72,36,0.166667,Dotted Eighth
1145822,1149406,41,77,36,0.333333,Dotted Eighth
1151454,1152478,41,79,36,0.500000,Sixteenth
1151454,1155038,41,60,36,0.500000,Dotted Eighth
1151454,1155038,42,57,36,0.500000,Dotted Eighth
1151454,1155038,43,41,36,0.500000,Dotted Eighth
1152478,1156574,41,77,36,0.541667,Dotted Eighth
1156574,1160670,41,60,36,0.666667,Dotted Eighth
1156574,1160670,42,57,36,0.666667,Dotted Eighth
1156574,1160670,43,41,36,0.666667,Dotted Eighth
1156574,1161182,41,76,36,0.666667,Quarter
1161182,1164766,41,60,36,0.833333,Dotted Eighth
1161182,1164766,42,57,36,0.833333,Dotted Eighth
1161182,1164766,43,41,36,0.833333,Dotted Eighth
1161182,1166302,41,77,36,0.833333,Quarter
1166302,1168862,41,74,37,0.000000,Dotted Eighth
1170910,1173982,41,77,37,0.166667,Dotted Eighth
1175006,1178590,41,82,37,0.333333,Dotted Eighth
1180126,1181662,41,84,37,0.500000,Sixteenth
1180126,1183710,41,77,37,0.500000,Dotted Eighth
1180126,1183710,42,65,37,0.500000,Dotted Eighth
1180126,1183710,43,62,37,0.500000,Dotted Eighth
1181662,1185246,41,82,37,0.541667,Dotted Eighth
1185246,1188830,41,75,37,0.666667,Dotted Eighth
1185246,1188830,42,65,37,0.666667,Dotted Eighth
1185246,1188830,43,60,37,0.666667,Dotted Eighth
1185246,1189854,41,81,37,0.666667,Quarter
1190366,1194462,41,74,37,0.833333,Dotted Eighth
1190366,1194462,42,65,37,0.833333,Dotted Eighth
1190366,1194462,43,58,37,0.833333,Dotted Eighth
1190366,1195486,41,82,37,0.833333,Quarter
1195486,1199070,41,77,38,0.000000,Dotted Eighth
1200094,1203166,41,81,38,0.166667,Dotted Eighth
1205214,1207774,41,84,38,0.333333,Dotted Eighth
1209822,1210846,41,86,38,0.500000,Sixteenth
1209822,1213918,41,72,38,0.500000,Dotted Eighth
1209822,1213918,42,65,38,0.500000,Dotted Eighth
1209822,1213918,43,57,38,0.500000,Dotted Eighth
1210846,1214942,41,84,38,0.541667,Dotted Eighth
1215454,1219038,41,77,38,0.666667,Dotted Eighth
1215454,1219038,42,65,38,0.666667,Dotted Eighth
1215454,1219038,43,55,38,0.666667,Dotted Eighth
1215454,1220574,41,83,38,0.666667,Quarter
1220574,1224158,41,77,38,0.833333,Dotted Eighth
1220574,1224158,42,65,38,0.833333,Dotted Eighth
1220574,1224158,43,53,38,0.833333,Dotted Eighth
1220574,1225694,41,84,38,0.833333,Quarter
1225694,1229278,41,84,39,0.000000,Dotted Eighth
1231326,1233886,41,86,39,0.166667,Dotted Eighth
1235422,1239006,41,87,39,0.333333,Dotted Eighth
1240542,1243614,41,89,39,0.500000,Dotted Eighth
1240542,1244126,41,72,39,0.500000,Dotted Eighth
1240542,1244126,42,65,39,0.500000,Dotted Eighth
1240542,1244126,43,53,39,0.500000,Dotted Eighth
1245662,1249246,41,91,39,0.666667,Dotted Eighth
1245662,1249758,41,72,39,0.666667,Dotted Eighth
1245662,1249758,42,65,39,0.666667,Dotted Eighth
1245662,1249758,43,53,39,0.666667,Dotted Eighth
1251294,1253342,41,72,39,0.833333,Dotted Eighth
1251294,1253342,41,93,39,0.833333,Dotted Eighth
1251294,1253342,42,65,39,0.833333,Dotted Eighth
1251294,1253342,43,53,39,0.833333,Dotted Eighth
1254366,1258974,41,74,40,0.000000,Quarter
1254366,1258974,41,94,40,0.000000,Quarter
1254366,1258974,42,65,40,0.000000,Quarter
1254366,1258974,43,46,40,0.000000,Quarter
1270750,1274334,41,65,40,0.500000,Dotted Eighth
1270750,1274334,42,65,40,0.500000,Dotted Eighth
1270750,1274334,43,62,40,0.500000,Dotted Eighth
1275870,1279966,41,65,40,0.666667,Dotted Eighth
1275870,1279966,42,63,40,0.666667,Dotted Eighth
1275870,1279966,43,60,40,0.666667,Dotted Eighth
1281502,1284574,41,65,40,0.833333,Dotted Eighth
1281502,1284574,42,62,40,0.833333,Dotted Eighth
1281502,1284574,43,58,40,0.833333,Dotted Eighth
1286110,1289694,41,62,41,0.000000,Dotted Eighth
1291230,1294814,41,65,41,0.166667,Dotted Eighth
1296350,1300446,41,70,41,0.333333,Dotted Eighth
1301982,1303518,41,72,41,0.500000,Sixteenth
1301982,1305566,41,65,41,0.500000,Dotted Eighth
1301982,1306078,42,65,41,0.500000,Dotted Eighth
1301982,1306078,43,62,41,0.500000,Dotted Eighth
1303518,1307614,41,70,41,0.541667,Dotted Eighth
1307614,1311198,41,65,41,0.666667,Dotted Eighth
1307614,1311710,42,63,41,0.666667,Dotted Eighth
1307614,1311710,43,60,41,0.666667,Dotted Eighth
1307614,1312734,41,69,41,0.666667,Quarter
1312734,1316318,41,65,41,0.833333,Dotted Eighth
1312734,1316830,42,62,41,0.833333,Dotted Eighth
1312734,1316830,43,58,41,0.833333,Dotted Eighth
1312734,1317854,41,70,41,0.833333,Quarter
1317854,1321950,41,65,42,0.000000,Dotted Eighth
1322974,1325534,41,69,42,0.166667,Dotted Eighth
1327582,1331166,41,72,42,0.333333,Dotted Eighth
1332702,1333726,41,74,42,0.500000,Sixteenth
1332702,1336286,41,65,42,0.500000,Dotted Eighth
1332702,1336798,42,57,42,0.500000,Dotted Eighth
1332702,1336798,43,53,42,0.500000,Dotted Eighth
1333726,1337822,41,72,42,0.541667,Dotted Eighth
1338334,1341918,41,65,42,0.666667,Dotted Eighth
1338334,1341918,42,55,42,0.666667,Dotted Eighth
1338334,1341918,43,53,42,0.666667,Dotted Eighth
1338334,1343454,41,71,42,0.666667,Quarter
1343454,1346014,41,65,42,0.833333,Dotted Eighth
1343454,1346526,42,57,42,0.833333,Dotted Eighth
1343454,1346526,43,53,42,0.833333,Dotted Eighth
1343454,1348062,41,72,42,0.833333,Quarter
1348062,1350622,41,65,43,0.000000,Dotted Eighth
1352158,1355742,41,70,43,0.166667,Dotted Eighth
1356766,1359838,41,74,43,0.333333,Dotted Eighth
1361374,1362910,41,75,43,0.500000,Sixteenth
1361374,1365470,41,62,43,0.500000,Dotted Eighth
1361374,1365470,42,53,43,0.500000,Dotted Eighth
